id,start_lat,start_lon,end_lat,end_lon,length,green_count,path_json
101,32.0807543,34.77996,32.0807558,34.7800394,7.482578845874908,0,"[[32.0807543, 34.77996], [32.0807548, 34.7799891], [32.0807558, 34.7800394]]"
102,32.0794975,34.7812282,32.0795443,34.7812492,5.5673583590996705,0,"[[32.0794975, 34.7812282], [32.0795443, 34.7812492]]"
103,32.0794975,34.7812282,32.0793299,34.781224,18.640470371283705,0,"[[32.0794975, 34.7812282], [32.0793299, 34.781224]]"
104,32.081092,34.7804203,32.0810391,34.7804202,5.882219164899179,0,"[[32.081092, 34.7804203], [32.0810391, 34.7804202]]"
105,32.0777097,34.7799208,32.0794975,34.7799007,198.8677637819184,12,"[[32.0777097, 34.7799208], [32.0777607, 34.7799211], [32.0785515, 34.7798864], [32.0786268, 34.7798849], [32.0793582, 34.779898], [32.0794975, 34.7799007]]"
106,32.0803189,34.7814191,32.0801633,34.7814239,17.308252892386125,0,"[[32.0803189, 34.7814191], [32.0801789, 34.7814238], [32.0801633, 34.7814239]]"
107,32.0803189,34.7814191,32.0813964,34.7814573,119.97094718310322,7,"[[32.0803189, 34.7814191], [32.0804111, 34.7814082], [32.080642, 34.7814262], [32.0813658, 34.781456], [32.0813964, 34.7814573]]"
108,32.0803189,34.7814191,32.0802763,34.7820507,59.695047522762174,3,"[[32.0803189, 34.7814191], [32.0802802, 34.7819924], [32.0802763, 34.7820507]]"
109,32.0815463,34.7812744,32.0815004,34.7812752,5.104403634099387,0,"[[32.0815463, 34.7812744], [32.0815004, 34.7812752]]"
110,32.0815463,34.7812744,32.0814958,34.7813745,10.976056805066941,0,"[[32.0815463, 34.7812744], [32.0814958, 34.7813745]]"
111,32.0815463,34.7812744,32.0817229,34.7812726,19.637756309582233,0,"[[32.0815463, 34.7812744], [32.0817229, 34.7812726]]"
112,32.0810383,34.7806913,32.0810391,34.7804202,25.541898183626493,1,"[[32.0810383, 34.7806913], [32.0810391, 34.7804202]]"
113,32.081662,34.7798909,32.0815977,34.7801062,25.720979036621664,1,"[[32.081662, 34.7798909], [32.0816801, 34.7799571], [32.0816358, 34.7801067], [32.0815977, 34.7801062]]"
114,32.081662,34.7798909,32.0816917,34.7798553,4.707016770461546,0,"[[32.081662, 34.7798909], [32.0816917, 34.7798553]]"
115,32.0793239,34.7813189,32.0793296,34.7813959,7.282340976465842,0,"[[32.0793239, 34.7813189], [32.0793296, 34.7813959]]"
116,32.0793239,34.7813189,32.0793299,34.781224,8.966047536880549,0,"[[32.0793239, 34.7813189], [32.0793299, 34.781224]]"
117,32.0796035,34.7812389,32.0795982,34.7813098,6.705909698862986,0,"[[32.0796035, 34.7812389], [32.0795982, 34.7813098]]"
118,32.0801633,34.7814239,32.0801611,34.7821197,69.83792928723668,4,"[[32.0801633, 34.7814239], [32.0801203, 34.7821149], [32.0801611, 34.7821197]]"
119,32.0810391,34.7804202,32.0810402,34.7800388,35.93389670134187,1,"[[32.0810391, 34.7804202], [32.0810401, 34.7801012], [32.0810402, 34.7800388]]"
120,32.08155,34.7819816,32.0815592,34.7820308,4.746903993475752,0,"[[32.08155, 34.7819816], [32.0815592, 34.7820308]]"
121,32.08155,34.7819816,32.0815359,34.782039,6.21476850879001,0,"[[32.08155, 34.7819816], [32.0815351, 34.7819954], [32.0815359, 34.782039]]"
122,32.0795443,34.7812492,32.0795982,34.7813098,8.277662298188778,0,"[[32.0795443, 34.7812492], [32.0795982, 34.7813098]]"
123,32.0814958,34.7813745,32.0815004,34.7812752,9.369495428557194,0,"[[32.0814958, 34.7813745], [32.0815004, 34.7812752]]"
124,32.0814083,34.7799639,32.0814083,34.779915,4.60710511191065,0,"[[32.0814083, 34.7799639], [32.0814083, 34.779915]]"
125,32.0814083,34.7799639,32.0814083,34.7799772,1.2530572186504703,0,"[[32.0814083, 34.7799639], [32.0814083, 34.7799772]]"
126,32.0802763,34.7820507,32.0809369,34.7821201,73.74580716139188,4,"[[32.0802763, 34.7820507], [32.0803142, 34.7820547], [32.0809369, 34.7821201]]"
127,32.0815281,34.7799201,32.0814083,34.779915,13.329815151944723,0,"[[32.0815281, 34.7799201], [32.0814083, 34.779915]]"
128,32.0815281,34.7799201,32.0815285,34.7798616,5.511739693973519,0,"[[32.0815281, 34.7799201], [32.0815285, 34.7798616]]"
129,32.0815592,34.7820308,32.0827909,34.7840108,234.42588525953386,15,"[[32.0815592, 34.7820308], [32.0817267, 34.7825303], [32.0817944, 34.782681], [32.0819188, 34.7829211], [32.0827297, 34.7839291], [32.0827909, 34.7840108]]"
130,32.0815592,34.7820308,32.0815359,34.782039,2.7035737064430743,0,"[[32.0815592, 34.7820308], [32.0815359, 34.782039]]"
