id,type,geometry_json
area_0,monolith,"[[32.0582056, 34.7679442], [32.0581774, 34.7676488], [32.0580793, 34.7676663], [32.0577636, 34.767709], [32.0577976, 34.7679831], [32.0582056, 34.7679442]]"
area_1,monolith,"[[32.0571045, 34.7678627], [32.0566826, 34.7678739], [32.0562498, 34.7678837], [32.0562428, 34.7678839], [32.0562069, 34.7678847], [32.0562076, 34.7679298], [32.0562138, 34.7683467], [32.0562139, 34.7683545], [32.0562141, 34.7683659], [32.0562167, 34.7686131], [32.0562202, 34.7689443], [32.0562205, 34.7689538], [32.0562364, 34.7695225], [32.054846, 34.7695167], [32.0548417, 34.7695656], [32.0548385, 34.7695998], [32.0562413, 34.7696227], [32.0562824, 34.7701356], [32.0562842, 34.7701577], [32.0563053, 34.7701567], [32.0572355, 34.7701136], [32.0572655, 34.7701122], [32.0573003, 34.7701066], [32.0575104, 34.7700725], [32.0579934, 34.7699949], [32.0580247, 34.7699899], [32.0580211, 34.7699533], [32.0579859, 34.7695993], [32.0579827, 34.7695673], [32.0579306, 34.7691531], [32.0579267, 34.7691178], [32.0579067, 34.7689369], [32.0578838, 34.7687291], [32.0578797, 34.7686931], [32.0578347, 34.7682988], [32.0578208, 34.7683008], [32.0575243, 34.7683438], [32.0574695, 34.7683517], [32.0571847, 34.7683903], [32.0571443, 34.7683958], [32.0571423, 34.7683459], [32.0571224, 34.7678622], [32.0571045, 34.7678627]]"
